3.1830E-02	4.0870E-02	3.8008E-04		9.2034E-03	      	1.9005E-04		3.20E-04		8.29E-03	3.42E-04	1.7124E-04
5.2480E-02	6.7380E-02	4.1720E-04		6.1274E-03	      	2.0858E-04		3.51E-04		5.52E-03	3.76E-04	1.8794E-04
8.6520E-02	1.0310E-01	4.9264E-04		4.7550E-03	      	1.7251E-04		4.15E-04		4.28E-03	4.44E-04	1.5544E-04
1.2280E-01	1.3570E-01	5.7142E-04		4.2033E-03	      	1.1433E-04		4.81E-04		3.79E-03	5.15E-04	1.0302E-04
1.5000E-01	1.6570E-01	6.1840E-04		3.7243E-03	      	1.2365E-04		5.21E-04		3.36E-03	5.57E-04	1.1141E-04
1.8320E-01	2.0240E-01	6.0992E-04		3.0078E-03	      	1.2182E-04		5.14E-04		2.71E-03	5.50E-04	1.0976E-04
2.2370E-01	2.4720E-01	6.6965E-04		2.7043E-03	      	1.3386E-04		5.64E-04		2.44E-03	6.03E-04	1.2062E-04
2.7320E-01	3.0200E-01	7.1597E-04		2.3673E-03	      	1.4322E-04		6.03E-04		2.13E-03	6.45E-04	1.2905E-04
3.3370E-01	3.6880E-01	6.5840E-04		1.7823E-03	      	1.3171E-04		5.54E-04		1.61E-03	5.93E-04	1.1868E-04
4.0760E-01	4.5050E-01	5.6566E-04		1.2536E-03	      	1.1320E-04		4.76E-04		1.13E-03	5.10E-04	1.0200E-04
4.9790E-01	5.5020E-01	1.0496E-03		1.9043E-03	      	2.0985E-04		8.84E-04		1.72E-03	9.46E-04	1.8909E-04
6.0810E-01	6.7210E-01	1.1325E-03		1.6823E-03	      	2.2644E-04		9.54E-04		1.52E-03	1.02E-03	2.0403E-04
7.4270E-01	7.8080E-01	1.2565E-03		1.6085E-03	      	1.2579E-04		1.06E-03		1.45E-03	1.13E-03	1.1334E-04
8.2090E-01	8.6290E-01	1.1168E-03		1.2936E-03	      	1.1164E-04		9.40E-04		1.17E-03	1.01E-03	1.0059E-04
9.0720E-01	9.5370E-01	8.8961E-04		9.3222E-04	      	8.9306E-05		7.49E-04		8.40E-04	8.02E-04	8.0469E-05
1.0030E+00	1.0540E+00	7.9908E-04		7.5769E-04	      	7.9557E-05		6.73E-04		6.83E-04	7.20E-04	7.1685E-05
1.1080E+00	1.1650E+00	1.0591E-03		9.0871E-04	      	1.0632E-04		8.92E-04		8.19E-04	9.54E-04	9.5799E-05
1.2250E+00	1.2870E+00	1.0877E-03		8.4453E-04	      	1.0810E-04		9.16E-04		7.61E-04	9.80E-04	9.7403E-05
1.3530E+00	1.4230E+00	1.1091E-03		7.7923E-04	      	1.1143E-04		9.34E-04		7.02E-04	9.99E-04	1.0040E-04
1.4960E+00	1.5720E+00	1.0484E-03		6.6640E-04	      	1.0462E-04		8.83E-04		6.00E-04	9.45E-04	9.4272E-05
1.6530E+00	1.7380E+00	1.1036E-03		6.3479E-04	      	1.1045E-04		9.29E-04		5.72E-04	9.94E-04	9.9523E-05
1.8270E+00	1.9200E+00	1.0787E-03		5.6139E-04	      	1.0779E-04		9.08E-04		5.06E-04	9.72E-04	9.7122E-05
2.0190E+00	2.1220E+00	1.1836E-03		5.5744E-04	      	1.1818E-04		9.97E-04		5.02E-04	1.07E-03	1.0648E-04
2.2310E+00	2.3460E+00	1.4176E-03		6.0412E-04	      	1.4197E-04		1.19E-03		5.44E-04	1.28E-03	1.2792E-04
2.4660E+00	2.5920E+00	1.2373E-03		4.7712E-04	      	1.2357E-04		1.04E-03		4.30E-04	1.11E-03	1.1135E-04
2.7250E+00	2.8650E+00	1.0616E-03		3.7040E-04	      	1.0631E-04		8.94E-04		3.34E-04	9.57E-04	9.5786E-05
3.0120E+00	3.1660E+00	9.3229E-04		2.9430E-04	      	9.3292E-05		7.85E-04		2.65E-04	8.40E-04	8.4060E-05
3.3290E+00	3.4990E+00	7.2172E-04		2.0614E-04	      	7.2149E-05		6.08E-04		1.86E-04	6.50E-04	6.5010E-05
3.6790E+00	3.8670E+00	7.0321E-04		1.8174E-04	      	7.0335E-05		5.92E-04		1.64E-04	6.34E-04	6.3375E-05
4.0660E+00	4.2740E+00	8.2221E-04		1.9229E-04	      	8.2107E-05		6.92E-04		1.73E-04	7.41E-04	7.3982E-05
4.4930E+00	4.7240E+00	9.8362E-04		2.0815E-04	      	9.8455E-05		8.28E-04		1.88E-04	8.86E-04	8.8712E-05
4.9660E+00	5.2200E+00	8.8539E-04		1.6953E-04	      	8.8494E-05		7.46E-04		1.53E-04	7.98E-04	7.9738E-05
5.4880E+00	5.7690E+00	7.9914E-04		1.3846E-04	      	7.9891E-05		6.73E-04		1.25E-04	7.20E-04	7.1986E-05
6.0650E+00	6.3760E+00	8.1775E-04		1.2820E-04	      	8.1792E-05		6.89E-04		1.16E-04	7.37E-04	7.3698E-05
6.7030E+00	7.0470E+00	6.9645E-04		9.8792E-05	      	6.9648E-05		5.87E-04		8.90E-05	6.28E-04	6.2757E-05
7.4080E+00	7.7880E+00	6.1927E-04		7.9485E-05	      	6.1919E-05		5.22E-04		7.16E-05	5.58E-04	5.5792E-05
8.1870E+00	8.6070E+00	6.4275E-04		7.4648E-05	      	6.4272E-05		5.41E-04		6.73E-05	5.79E-04	5.7912E-05
9.0480E+00	9.5120E+00	5.8413E-04		6.1384E-05	      	5.8437E-05		4.92E-04		5.53E-05	5.26E-04	5.2655E-05
1.0000E+01	1.0510E+01	5.3434E-04		5.0811E-05	      	5.3352E-05		4.50E-04		4.58E-05	4.81E-04	4.8072E-05
1.1050E+01	1.1620E+01	5.2788E-04		4.5427E-05	      	5.2695E-05		4.45E-04		4.09E-05	4.76E-04	4.7481E-05
1.2210E+01	1.2840E+01	5.4100E-04		4.2121E-05	      	5.4335E-05		4.56E-04		3.80E-05	4.87E-04	4.8959E-05
1.3500E+01	1.4190E+01	5.4171E-04		3.8153E-05	      	5.4178E-05		4.56E-04		3.44E-05	4.88E-04	4.8817E-05
1.4920E+01	1.6160E+01	5.4290E-04		3.3563E-05	      	8.6591E-05		4.57E-04		3.02E-05	4.89E-04	7.8023E-05
1.7500E+01	1.8520E+01	6.6274E-04		3.5766E-05	      	7.5108E-05		5.58E-04		3.22E-05	5.97E-04	6.7676E-05
1.9600E+01	2.5700E+01	7.4882E-04		2.8783E-05	      	4.0584E-04		6.31E-04		2.59E-05	6.75E-04	3.6568E-04
3.3700E+01	4.4190E+01	1.0384E-03		2.3213E-05	      	5.6291E-04		8.74E-04		2.09E-05	9.36E-04	5.0721E-04
